book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,NonEnglish
290,10335308,10335308,15237902,18,307886263,9780307886260.0,Mindy Kaling,2011.0,Is Everyone Hanging Out Without Me? (And Other Concerns),Is Everyone Hanging Out Without Me? (And Other Concerns),eng,3.84,290674,312931,19397,6438,18856,81229,117248,89160,https://images.gr-assets.com/books/1443264638m/10335308.jpg,https://images.gr-assets.com/books/1443264638s/10335308.jpg,0
317,13214,13214,1413589,107,553279378,9780553279380.0,Maya Angelou,1969.0,I Know Why the Caged Bird Sings,I Know Why the Caged Bird Sings,en-US,4.19,270859,284448,6666,4969,9937,42472,95531,131539,https://images.gr-assets.com/books/1327957927m/13214.jpg,https://images.gr-assets.com/books/1327957927s/13214.jpg,0
329,2318271,2318271,3364076,111,1401323251,9781401323260.0,"Randy Pausch, Jeffrey Zaslow",2008.0,The Last Lecture,The Last Lecture,eng,4.25,241869,248143,14988,3004,8851,35547,76621,124120,https://images.gr-assets.com/books/1388075896m/2318271.jpg,https://images.gr-assets.com/books/1388075896s/2318271.jpg,0
344,4138,4138,2086690,54,316777730,9780316777740.0,David Sedaris,1997.0,Naked,Naked,en-US,4.08,201337,204766,5096,2631,7051,37023,81934,76127,https://images.gr-assets.com/books/1394178867m/4138.jpg,https://images.gr-assets.com/books/1394178867s/4138.jpg,0
352,20910157,20910157,40098620,29,62268341,9780062268340.0,Amy Poehler,2014.0,Yes Please,Yes Please,eng,3.81,251082,274223,20301,8886,19000,69227,96483,80627,https://images.gr-assets.com/books/1402815435m/20910157.jpg,https://images.gr-assets.com/books/1402815435s/20910157.jpg,0
366,2203,2203,963375,38,743223136,9780743223130.0,David McCullough,2001.0,John Adams,John Adams,eng,4.05,215780,220127,5334,11255,10372,30772,70601,97127,https://images.gr-assets.com/books/1478144278m/2203.jpg,https://images.gr-assets.com/books/1478144278s/2203.jpg,0
372,10176,10176,2582035,55,965904830,9780965904830.0,David Sedaris,2004.0,Dress Your Family in Corduroy and Denim,Dress Your Family in Corduroy and Denim,eng,4.08,191923,204247,5776,2483,6620,37230,82749,75165,https://images.gr-assets.com/books/1352983006m/10176.jpg,https://images.gr-assets.com/books/1352983006s/10176.jpg,0
383,1241,1241,3140930,69,307276902,9780307276900.0,James Frey,2003.0,A Million Little Pieces,A Million Little Pieces,en-CA,3.62,184241,189931,10857,9619,18950,51504,63727,46131,https://images.gr-assets.com/books/1483206985m/1241.jpg,https://images.gr-assets.com/books/1483206985s/1241.jpg,0
470,17851885,17851885,24987300,129,316322407,9780316322410.0,"Malala Yousafzai, Christina Lamb",2012.0,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,eng,4.06,214412,227850,14667,7433,9470,38518,77944,94485,https://images.gr-assets.com/books/1375414895m/17851885.jpg,https://images.gr-assets.com/books/1375414895s/17851885.jpg,0
495,4953,4953,42857,65,375725784,9780375725780.0,Dave Eggers,2000.0,A Heartbreaking Work of Staggering Genius,A Heartbreaking Work of Staggering Genius,eng,3.68,145459,149779,8673,7877,15434,35148,50148,41172,https://images.gr-assets.com/books/1327714834m/4953.jpg,https://images.gr-assets.com/books/1327714834s/4953.jpg,0
513,561909,561909,878114,83,553256696,9780553256700.0,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill",1971.0,The Hiding Place,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,en-US,4.42,171384,178722,7801,2958,3872,17731,44665,109496,https://images.gr-assets.com/books/1320418824m/561909.jpg,https://images.gr-assets.com/books/1320418824s/561909.jpg,0
574,33313,33313,4219,78,60899220,9780060899230.0,Anthony Bourdain,2000.0,Kitchen Confidential: Adventures in the Culinary Underbelly,Kitchen Confidential: Adventures in the Culinary Underbelly,eng,4.0,134177,145933,7582,1668,5600,30364,61600,46701,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
604,68783,68783,926090,49,679746048,9780679746040.0,Susanna Kaysen,1993.0,"Girl, Interrupted","Girl, Interrupted",eng,3.9,145161,151176,3532,1827,8242,38968,56689,45450,https://images.gr-assets.com/books/1475482930m/68783.jpg,https://images.gr-assets.com/books/1475482930s/68783.jpg,0
605,40173,40173,2270522,24,61173398,9780061173390.0,Chelsea Handler,2007.0,"Are You There, Vodka? It's Me, Chelsea","Are You There, Vodka? It's Me, Chelsea",,3.85,127096,135734,6724,3901,9551,32729,46450,43103,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
610,16158542,16158542,21998925,33,067002581X,9780670025820.0,Daniel James Brown,2013.0,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,eng,4.32,113565,139128,16287,2292,3772,15002,43457,74605,https://images.gr-assets.com/books/1354683116m/16158542.jpg,https://images.gr-assets.com/books/1354683116s/16158542.jpg,0
617,6314763,6314763,6499995,69,385523386,9780385523390.0,Piper Kerman,2010.0,Orange Is the New Black: My Year in a Women's Prison,Orange Is the New Black,eng,3.7,127186,146868,12873,3322,11023,43493,57605,31425,https://images.gr-assets.com/books/1320520714m/6314763.jpg,https://images.gr-assets.com/books/1320520714s/6314763.jpg,0
659,88061,88061,86032,83,1921351438,9781921351430.0,Barack Obama,1995.0,Dreams from My Father,Dreams from My Father: A Story of Race and Inheritance,eng,3.81,128961,135594,5843,6777,7212,30921,50809,39875,https://images.gr-assets.com/books/1352340675m/88061.jpg,https://images.gr-assets.com/books/1352340675s/88061.jpg,0
690,9742,9742,1716451,62,307237699,9780307237700.0,Barack Obama,2006.0,The Audacity of Hope: Thoughts on Reclaiming the American Dream,The Audacity of Hope: Thoughts on Reclaiming the American Dream,en-US,3.69,110873,114115,4511,7053,7808,28645,40177,30432,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
710,13747,13747,3338312,64,031610969X,9780316109700.0,Julie Powell,2005.0,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen","Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen: How One Girl Risked Her Marriage, Her Job, and Her Sanity to Master the Art of Living",eng,3.67,121373,129563,7434,4405,11803,37340,44811,31204,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
737,43015,43015,825414,68,374105235,9780374105240.0,Ishmael Beah,2007.0,A Long Way Gone. Memoirs of a Boy Soldier,A Long Way Gone: Memoirs of a Boy Soldier,en-US,4.14,116260,121841,9015,1424,3801,20057,46963,49596,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
745,12868761,12868761,17995392,2,399159010,9780399159020.0,Jenny  Lawson,2012.0,Let's Pretend This Never Happened (A Mostly True Memoir),Let's Pretend This Never Happened: A Mostly True Memoir,eng,3.9,118475,130593,15544,5179,9769,25994,41884,47767,https://images.gr-assets.com/books/1489415716m/12868761.jpg,https://images.gr-assets.com/books/1489415716s/12868761.jpg,0
754,6366437,6366437,6553801,51,1416586288,9781416586290.0,Jeannette Walls,2008.0,Half Broke Horses: A True Life Novel,Half Broke Horses,eng,4.05,110597,119479,10401,820,3719,23221,52865,38854,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
765,92057,92057,47400,105,345350685,9780345350690.0,"Malcolm X, Alex Haley",1965.0,The Autobiography of Malcolm X,The Autobiography of Malcolm X,eng,4.29,124805,131773,3951,2453,3362,16312,41019,68627,https://images.gr-assets.com/books/1434682864m/92057.jpg,https://images.gr-assets.com/books/1434682864s/92057.jpg,0
775,341879,341879,332242,66,006621131X,9780066211310.0,Patti Smith,2010.0,Just Kids,Just Kids,en-US,4.14,106542,117400,8415,3268,5377,17142,37031,54582,https://images.gr-assets.com/books/1259762407m/341879.jpg,https://images.gr-assets.com/books/1259762407s/341879.jpg,0
787,7821447,7821447,10860635,39,61992704,9780061992700.0,Justin Halpern,2010.0,Sh*t My Dad Says,Sh*t My Dad Says,,3.98,102560,116368,7386,2279,6246,25054,40835,41954,https://images.gr-assets.com/books/1370399211m/7821447.jpg,https://images.gr-assets.com/books/1370399211s/7821447.jpg,0
800,821611,821611,1602613,298,553213873,9780553213870.0,Helen Keller,1902.0,The Story of My Life,The Story of My Life,eng,4.07,107313,110056,1683,2514,4654,20960,36225,45703,https://images.gr-assets.com/books/1320429331m/821611.jpg,https://images.gr-assets.com/books/1320429331s/821611.jpg,0
828,9516,9516,3303888,39,037571457X,9780375714570.0,"Marjane Satrapi, Mattias Ripa",2000.0,Persepolis,"Persepolis: The Story of a Childhood (Persepolis, #1)",eng,4.23,117103,119965,6588,1138,3121,16734,45474,53498,https://images.gr-assets.com/books/1425871473m/9516.jpg,https://images.gr-assets.com/books/1425871473s/9516.jpg,0
852,25899336,25899336,45424659,80,,,"Paul Kalanithi, Abraham Verghese",2016.0,When Breath Becomes Air,When Breath Becomes Air,eng,4.32,116771,165673,15933,2913,4244,18562,51535,88419,https://images.gr-assets.com/books/1492677644m/25899336.jpg,https://images.gr-assets.com/books/1492677644s/25899336.jpg,0
870,2199,2199,2861004,40,743270754,9780743270760.0,"Doris Kearns Goodwin, Suzanne Toren",2005.0,Team of Rivals: The Political Genius of Abraham Lincoln,Team of Rivals: The Political Genius of Abraham Lincoln,eng,4.3,102923,107944,5875,3306,3095,11140,31184,59219,https://images.gr-assets.com/books/1347278868m/2199.jpg,https://images.gr-assets.com/books/1347278868s/2199.jpg,0
874,13547180,13547180,19112736,35,145162137X,9781451621370.0,Susannah Cahalan,2012.0,Brain on Fire,Brain on Fire: My Month of Madness,eng,4.0,92849,103617,8593,1491,4253,21084,42730,34059,https://images.gr-assets.com/books/1353173297m/13547180.jpg,https://images.gr-assets.com/books/1353173297s/13547180.jpg,0
878,13912,13912,2561274,59,571212921,9780571212930.0,Sylvia Nasar,1998.0,A Beautiful Mind,A Beautiful Mind,en-GB,4.12,98276,100629,1100,2044,3393,16728,36997,41467,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
895,7815,7815,1659905,57,1400078431,9781400078430.0,Joan Didion,2005.0,The Year of Magical Thinking,The Year of Magical Thinking,eng,3.86,94590,99308,7729,2670,7410,22435,35538,31255,https://images.gr-assets.com/books/1327878638m/7815.jpg,https://images.gr-assets.com/books/1327878638s/7815.jpg,0
916,7603,7603,903067,69,812971060,9780812971060.0,Azar Nafisi,2003.0,Reading Lolita in Tehran: A Memoir in Books,Reading Lolita in Tehran,eng,3.57,94696,98413,6576,4270,10670,28610,34061,20802,https://images.gr-assets.com/books/1397751318m/7603.jpg,https://images.gr-assets.com/books/1397751318s/7603.jpg,0
931,20588698,20588698,21933444,71,081299499X,9780812995000.0,"Lena Dunham, Joana Avillez",2014.0,Not that Kind of Girl,"Not That Kind of Girl: A Young Woman Tells You What She's ""Learned""",eng,3.33,88251,97626,7732,6235,14712,32976,28187,15516,https://images.gr-assets.com/books/1402816003m/20588698.jpg,https://images.gr-assets.com/books/1402816003s/20588698.jpg,0
943,4136,4136,674383,42,316191299,9780316191300.0,David Sedaris,1997.0,Holidays on Ice,Holidays on Ice,eng,3.95,82591,90898,4509,1685,5179,20216,32529,31289,https://images.gr-assets.com/books/1328330843m/4136.jpg,https://images.gr-assets.com/books/1328330843s/4136.jpg,0
956,5544,5544,321174,97,393316041,9780393316050.0,Richard Feynman,1984.0,"Surely You're Joking, Mr. Feynman! Adventures of a Curious Character","Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",en-US,4.29,91625,97719,3500,2080,2616,11036,30784,51203,https://images.gr-assets.com/books/1348445281m/5544.jpg,https://images.gr-assets.com/books/1348445281s/5544.jpg,0
994,32085,18929854,2247074,77,312965788,9780312965780.0,James Herriot,1972.0,All Creatures Great And Small,"All Creatures Great and Small (All Creatures Great and Small, #1-2)",eng,4.31,64779,98251,2770,693,1999,13232,32737,49590,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1006,11887020,11887020,16845778,86,62107062,9780062107060.0,"Chris Kyle, Scott McEwen, Jim DeFelice",2012.0,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,eng,3.97,61422,82161,6851,2473,5241,16428,26296,31723,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1007,35982,35982,979256,33,1582346186,9781582346180.0,Chelsea Handler,2004.0,My Horizontal Life: A Collection of One-Night Stands,My Horizontal Life: A Collection of One-Night Stands,en-GB,3.79,83607,89257,6051,2659,7349,22943,29859,26447,https://images.gr-assets.com/books/1388631721m/35982.jpg,https://images.gr-assets.com/books/1388631721s/35982.jpg,0
1021,25460,25460,1582285,37,60852550,9780060852560.0,"Barbara Kingsolver, Steven L. Hopp, Camille Kingsolver, Richard A. Houser",2007.0,"Animal, Vegetable, Miracle: A Year of Food Life","Animal, Vegetable, Miracle: A Year of Food Life",en-US,4.03,83881,87904,10149,1709,4789,16112,31521,33773,https://images.gr-assets.com/books/1480104279m/25460.jpg,https://images.gr-assets.com/books/1480104279s/25460.jpg,0
1031,4631,4631,2459084,208,99285045,9780099285040.0,Ernest Hemingway,1964.0,A Moveable Feast,A Moveable Feast,eng,4.04,69992,90690,6350,1317,4027,17732,34395,33219,https://images.gr-assets.com/books/1427463201m/4631.jpg,https://images.gr-assets.com/books/1427463201s/4631.jpg,0
1035,10884,10884,985244,78,743264738,9780743264730.0,Walter Isaacson,2007.0,Einstein. His Life and Universe,Einstein: His Life and Universe,eng,4.08,71156,73821,2489,2135,2854,12228,26308,30296,https://images.gr-assets.com/books/1328011405m/10884.jpg,https://images.gr-assets.com/books/1328011405s/10884.jpg,0
1044,22716447,30268522,41897766,18,804138141,9780804138150.0,Mindy Kaling,2015.0,Why Not Me?,Why Not Me?,eng,3.89,74199,106929,7736,2037,5274,25842,42829,30947,https://images.gr-assets.com/books/1442548684m/22716447.jpg,https://images.gr-assets.com/books/1442548684s/22716447.jpg,0
1068,29209,29209,29679,62,1573225789,9781573225790.0,James McBride,1996.0,The Color of Water: A Black Man's Tribute to His White Mother,The Color of Water: A Black Man's Tribute to His White Mother,en-US,4.06,80906,83888,4174,1206,3218,15996,32338,31130,https://images.gr-assets.com/books/1401311300m/29209.jpg,https://images.gr-assets.com/books/1401311300s/29209.jpg,0
1083,82970,82970,1822441,46,033041836X,9780330418360.0,Alice Sebold,1999.0,Lucky,Lucky,eng,3.77,77462,82636,3856,1583,5781,23290,31476,20506,https://images.gr-assets.com/books/1327190847m/82970.jpg,https://images.gr-assets.com/books/1327190847s/82970.jpg,0
1097,89375,89375,2957021,54,800759494,9780800759490.0,"Don Piper, Cecil Murphey",2004.0,90 Minutes in Heaven,90 Minutes in Heaven: A True Story of Death and Life,,3.91,67937,69968,3056,2082,5200,15796,20710,26180,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1102,32370,32370,1825967,40,312423799,9780312423800.0,Augusten Burroughs,2003.0,Dry: A Memoir,Dry,eng,4.01,70550,73886,3148,728,3150,16092,28576,25340,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1115,11330361,11330361,16258764,43,1451629184,9781451629190.0,Jaycee Dugard,2011.0,A Stolen Life,A Stolen Life,en-US,3.89,72713,80357,6978,1318,4977,20465,28359,25238,https://images.gr-assets.com/books/1327928284m/11330361.jpg,https://images.gr-assets.com/books/1327928284s/11330361.jpg,0
1162,11230081,11230081,16156051,32,446585025,9780446585030.0,Ellen DeGeneres,2011.0,Seriously...I'm Kidding,Seriously... I'm Kidding,en-US,3.72,74358,79686,5874,2961,8032,21234,23345,24114,https://images.gr-assets.com/books/1441195131m/11230081.jpg,https://images.gr-assets.com/books/1441195131s/11230081.jpg,0
1234,67920,67920,2912372,36,446359408,9780446359400.0,Flora Rheta Schreiber,1973.0,Sybil,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,en-US,3.99,72493,73855,1271,1086,3345,16767,26328,26329,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1309,9439303,9439303,14323907,56,297854399,9780297854400.0,Keith Richards,2010.0,Life,Life,en-GB,3.84,60409,65971,4137,2452,4587,14539,23848,20545,https://images.gr-assets.com/books/1327960451m/9439303.jpg,https://images.gr-assets.com/books/1327960451s/9439303.jpg,0
1333,10883,10883,750514,30,074325807X,9780743258070.0,Walter Isaacson,2003.0,Benjamin Franklin: An American Life,Benjamin Franklin: An American Life,eng,3.96,70335,71804,1386,3086,3391,13181,25649,26497,https://images.gr-assets.com/books/1397772877m/10883.jpg,https://images.gr-assets.com/books/1397772877s/10883.jpg,0
1370,38990,26135825,911368,42,618477942,9780618477940.0,Alison Bechdel,2006.0,,Fun Home: A Family Tragicomic,eng,4.12,48305,82994,6685,1782,3527,12990,29660,35035,https://images.gr-assets.com/books/1327652831m/38990.jpg,https://images.gr-assets.com/books/1327652831s/38990.jpg,0
1404,10414941,10414941,15319151,33,679456724,9780679456730.0,Robert K. Massie,2011.0,Catherine the Great: Portrait of a Woman,Catherine the Great: Portrait of a Woman,en-CA,3.91,66591,69761,3254,3282,3485,13328,25533,24133,https://images.gr-assets.com/books/1403395276m/10414941.jpg,https://images.gr-assets.com/books/1403395276s/10414941.jpg,0
1408,711901,711901,1623890,57,316067598,9780316067590.0,"Marcus Luttrell, Patrick Robinson",2006.0,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,eng,4.34,46551,59060,6071,752,1742,6835,17239,32492,https://images.gr-assets.com/books/1344265535m/711901.jpg,https://images.gr-assets.com/books/1344265535s/711901.jpg,0
1487,1848,1848,2969000,139,743246985,9780743246990.0,Jung Chang,1991.0,Wild Swans: Three Daughters of China,Wild Swans: Three Daughters of China,en-US,4.23,60193,67548,4426,921,1940,9406,23802,31479,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1494,773858,773858,3315115,27,1416553649,9781416553650.0,Steve Martin,2007.0,Born Standing Up: A Comic's Life,Born Standing Up: A Comic's Life,eng,3.87,60869,63893,4258,1515,3216,15539,25317,18306,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1512,18478222,18478222,160246,749,,9780989794800.0,Solomon Northup,1853.0,Twelve Years a Slave,Twelve Years a Slave,eng,4.15,39758,64894,4918,1035,2266,10046,23893,27654,https://images.gr-assets.com/books/1378793462m/18478222.jpg,https://images.gr-assets.com/books/1378793462s/18478222.jpg,0
1515,81227,81227,1133588,57,743289684,9780743289690.0,Ayaan Hirsi Ali,2006.0,Infidel,Infidel,eng,4.2,58432,62162,5662,1168,1891,8759,22116,28228,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1524,27161156,27161156,47200486,30,62300547,9780062300550.0,J.D. Vance,2016.0,Hillbilly Elegy. A Memoir of a Family and Culture in Crisis,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,eng,3.99,80737,105770,13146,1429,4680,21299,44927,33435,https://images.gr-assets.com/books/1463569814m/27161156.jpg,https://images.gr-assets.com/books/1463569814s/27161156.jpg,0
